Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time,Total Time
mythril,smartbugs-dataset/access_control/wallet_04_confused_sign.sol,Wallet,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 7840 - 62501,71.41015553474426,675.9885308742523
mythril,smartbugs-dataset/access_control/wallet_04_confused_sign.sol,Wallet,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can underflow.,Estimated Gas Usage: 7840 - 62501,71.41015553474426,675.9885308742523
mythril,smartbugs-dataset/access_control/wallet_04_confused_sign.sol,Wallet,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 1955 - 2430,71.41015553474426,675.9885308742523
slither,smartbugs-dataset/access_control/mycontract.sol#L18-L22,"MyContract.sendTo(address,uint256)",arbitrary-send-eth,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6359505653381348,675.9885308742523
slither,smartbugs-dataset/access_control/mycontract.sol#L18-L22,"MyContract.sendTo(address,uint256)",tx-origin,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6359505653381348,675.9885308742523
mythril,smartbugs-dataset/access_control/mycontract.sol,MyContract,Dependence on tx.origin,Low,SWC-ID: https://swcregistry.io/docs/SWC-115,Use of tx.origin as a part of authorization control.,Estimated Gas Usage: 1078 - 1503,11.4287691116333,675.9885308742523
mythril,smartbugs-dataset/access_control/incorrect_constructor_name1.sol,Missing,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 3379 - 38320,11.083600521087646,675.9885308742523
mythril,smartbugs-dataset/access_control/incorrect_constructor_name1.sol,Missing,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 3379 - 38320,11.083600521087646,675.9885308742523
slither,smartbugs-dataset/access_control/phishable.sol#L18-L22,Phishable.withdrawAll(address),arbitrary-send-eth,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6410846710205078,675.9885308742523
slither,smartbugs-dataset/access_control/phishable.sol#L18-L22,Phishable.withdrawAll(address),tx-origin,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6410846710205078,675.9885308742523
mythril,smartbugs-dataset/access_control/phishable.sol,Phishable,Dependence on tx.origin,Low,SWC-ID: https://swcregistry.io/docs/SWC-115,Use of tx.origin as a part of authorization control.,Estimated Gas Usage: 1073 - 1498,34.1838481426239,675.9885308742523
mythril,smartbugs-dataset/access_control/phishable.sol,Phishable,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 2607 - 37218,34.1838481426239,675.9885308742523
mythril,smartbugs-dataset/access_control/phishable.sol,Phishable,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 2607 - 37218,34.1838481426239,675.9885308742523
slither,smartbugs-dataset/access_control/mapping_write.sol#L11-L30,Map,controlled-array-length,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6556603908538818,675.9885308742523
slither,smartbugs-dataset/access_control/mapping_write.sol#L12,Map.owner,uninitialized-state,High,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.6556603908538818,675.9885308742523
mythril,smartbugs-dataset/access_control/mapping_write.sol,Map,Exception State,Low,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 7769 - 27864,22.334007501602173,675.9885308742523
mythril,smartbugs-dataset/access_control/mapping_write.sol,Map,Write to an arbitrary storage location,High,SWC-ID: https://swcregistry.io/docs/SWC-124,The caller can write to arbitrary storage locations.,Estimated Gas Usage: 12845 - 53035,22.334007501602173,675.9885308742523
mythril,smartbugs-dataset/access_control/mapping_write.sol,Map,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 2542 - 37153,22.334007501602173,675.9885308742523
mythril,smartbugs-dataset/access_control/mapping_write.sol,Map,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 2542 - 37153,22.334007501602173,675.9885308742523
mythril,smartbugs-dataset/access_control/mapping_write.sol,Map,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 1083 - 1178,22.334007501602173,675.9885308742523
slither,smartbugs-dataset/access_control/FibonacciBalance.sol#L26-L33,FibonacciBalance.withdraw(),arbitrary-send-eth,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6638576984405518,675.9885308742523
slither,smartbugs-dataset/access_control/FibonacciBalance.sol#L36-L39,FibonacciBalance.fallback(),controlled-delegatecall,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6638576984405518,675.9885308742523
slither,smartbugs-dataset/access_control/FibonacciBalance.sol#L14,FibonacciBalance.calculatedFibNumber,uninitialized-state,High,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.6638576984405518,675.9885308742523
mythril,smartbugs-dataset/access_control/FibonacciBalance.sol,FibonacciBalance,Delegatecall to user-supplied address,High,SWC-ID: https://swcregistry.io/docs/SWC-112,The contract delegates execution to another contract with a user-supplied address.,Estimated Gas Usage: 1748 - 38663,47.999746561050415,675.9885308742523
mythril,smartbugs-dataset/access_control/FibonacciBalance.sol,FibonacciBalance,Delegatecall to user-supplied address,High,SWC-ID: https://swcregistry.io/docs/SWC-112,The contract delegates execution to another contract with a user-supplied address.,Estimated Gas Usage: 10192 - 99460,47.999746561050415,675.9885308742523
mythril,smartbugs-dataset/access_control/FibonacciBalance.sol,FibonacciBalance,State access after external call,Medium,SWC-ID: https://swcregistry.io/docs/SWC-107,Read of persistent state following external call,Estimated Gas Usage: 10192 - 99460,47.999746561050415,675.9885308742523
mythril,smartbugs-dataset/access_control/FibonacciBalance.sol,FibonacciBalance,Multiple Calls in a Single Transaction,Low,SWC-ID: https://swcregistry.io/docs/SWC-113,Multiple calls are executed in the same transaction.,Estimated Gas Usage: 10192 - 99460,47.999746561050415,675.9885308742523
mythril,smartbugs-dataset/access_control/FibonacciBalance.sol,FibonacciBalance,State access after external call,Medium,SWC-ID: https://swcregistry.io/docs/SWC-107,Write to persistent state following external call,Estimated Gas Usage: 10192 - 99460,47.999746561050415,675.9885308742523
mythril,smartbugs-dataset/access_control/FibonacciBalance.sol,FibonacciBalance,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 10192 - 99460,47.999746561050415,675.9885308742523
slither,smartbugs-dataset/access_control/proxy.sol#L17-L20,"Proxy.forward(address,bytes)",controlled-delegatecall,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6206145286560059,675.9885308742523
mythril,smartbugs-dataset/access_control/proxy.sol,Proxy,Delegatecall to user-supplied address,High,SWC-ID: https://swcregistry.io/docs/SWC-112,The contract delegates execution to another contract with a user-supplied address.,Estimated Gas Usage: 1312 - 38273,28.910114288330078,675.9885308742523
mythril,smartbugs-dataset/access_control/incorrect_constructor_name2.sol,Missing,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 3357 - 38298,11.109089612960815,675.9885308742523
mythril,smartbugs-dataset/access_control/incorrect_constructor_name2.sol,Missing,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 3357 - 38298,11.109089612960815,675.9885308742523
mythril,smartbugs-dataset/access_control/incorrect_constructor_name3.sol,Missing,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 3357 - 38298,10.922290086746216,675.9885308742523
mythril,smartbugs-dataset/access_control/incorrect_constructor_name3.sol,Missing,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 3357 - 38298,10.922290086746216,675.9885308742523
