Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time,Total Time
slither,smartbugs-dataset/bad_randomness/smart_billions.sol#L118-L771,SmartBillions,controlled-array-length,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,1.784904956817627,4094.578621149063
slither,smartbugs-dataset/bad_randomness/smart_billions.sol#L459-L478,SmartBillions.commitDividend(address),divide-before-multiply,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,1.784904956817627,4094.578621149063
slither,smartbugs-dataset/bad_randomness/smart_billions.sol#L118-L771,SmartBillions,erc20-interface,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,1.784904956817627,4094.578621149063
slither,smartbugs-dataset/bad_randomness/smart_billions.sol#L672-L689,SmartBillions.addHashes(uint256),incorrect-equality,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,1.784904956817627,4094.578621149063
mythril,smartbugs-dataset/bad_randomness/smart_billions.sol,SmartBillions,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 1069 - 1494,2097.514501810074,4094.578621149063
mythril,smartbugs-dataset/bad_randomness/smart_billions.sol,SmartBillions,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 436 - 531,2097.514501810074,4094.578621149063
mythril,smartbugs-dataset/bad_randomness/smart_billions.sol,SmartBillions,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 55660 - 202941,2097.514501810074,4094.578621149063
mythril,smartbugs-dataset/bad_randomness/smart_billions.sol,SmartBillions,Dependence on predictable environment variable,Low,SWC-ID: https://swcregistry.io/docs/SWC-120,A control flow decision is made based on The block.number environment variable.,Estimated Gas Usage: 24450 - 89072,2097.514501810074,4094.578621149063
mythril,smartbugs-dataset/bad_randomness/smart_billions.sol,SmartBillions,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 55660 - 202941,2097.514501810074,4094.578621149063
mythril,smartbugs-dataset/bad_randomness/smart_billions.sol,SmartBillions,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 55660 - 202941,2097.514501810074,4094.578621149063
