Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time,Total Time
mythril,smartbugs-dataset/denial_of_service/auction.sol,DosAuction,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 15102 - 90373,35.484525203704834,170.21524930000305
mythril,smartbugs-dataset/denial_of_service/send_loop.sol,Refunder,Multiple Calls in a Single Transaction,Low,SWC-ID: https://swcregistry.io/docs/SWC-113,Multiple calls are executed in the same transaction.,Estimated Gas Usage: 12970 - 83517,12.038251161575317,170.21524930000305
mythril,smartbugs-dataset/denial_of_service/send_loop.sol,Refunder,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 12970 - 83517,12.038251161575317,170.21524930000305
slither,smartbugs-dataset/denial_of_service/list_dos.sol#L10-L124,Government,controlled-array-length,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.7759692668914795,170.21524930000305
slither,smartbugs-dataset/denial_of_service/list_dos.sol#L31-L86,Government.lendGovernmentMoney(address),unchecked-send,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.7759692668914795,170.21524930000305
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Dependence on predictable environment variable,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,A control flow decision is made based on The block.timestamp environment variable.,Estimated Gas Usage: 915 - 1010,93.69091558456421,170.21524930000305
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 3356 - 37637,93.69091558456421,170.21524930000305
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 3702 - 37983,93.69091558456421,170.21524930000305
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Unchecked return value from external call.,Medium,SWC-ID: https://swcregistry.io/docs/SWC-104,The return value of a message call is not checked.,Estimated Gas Usage: 2099 - 36380,93.69091558456421,170.21524930000305
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Unchecked return value from external call.,Medium,SWC-ID: https://swcregistry.io/docs/SWC-104,The return value of a message call is not checked.,Estimated Gas Usage: 2176 - 36738,93.69091558456421,170.21524930000305
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 1212 - 1307,93.69091558456421,170.21524930000305
mythril,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 1278 - 1373,93.69091558456421,170.21524930000305
slither,smartbugs-dataset/denial_of_service/dos_address.sol#L9-L36,DosGas,controlled-array-length,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6321139335632324,170.21524930000305
