Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time,Total Time
slither,smartbugs-dataset/other/crypto_roulette.sol#L14-L61,CryptoRoulette,controlled-array-length,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.676971435546875,2062.863559961319
slither,smartbugs-dataset/other/crypto_roulette.sol#L32-L35,CryptoRoulette.shuffle(),weak-prng,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.676971435546875,2062.863559961319
slither,smartbugs-dataset/other/crypto_roulette.sol#L40,CryptoRoulette.play(uint256).game,uninitialized-storage,High,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.676971435546875,2062.863559961319
slither,smartbugs-dataset/other/crypto_roulette.sol#L37-L52,CryptoRoulette.play(uint256),incorrect-equality,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.676971435546875,2062.863559961319
mythril,smartbugs-dataset/other/crypto_roulette.sol,CryptoRoulette,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 987 - 1082,41.221691370010376,2062.863559961319
mythril,smartbugs-dataset/other/crypto_roulette.sol,CryptoRoulette,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 1859 - 2284,41.221691370010376,2062.863559961319
mythril,smartbugs-dataset/other/crypto_roulette.sol,CryptoRoulette,Dependence on predictable environment variable,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,A control flow decision is made based on The block.timestamp environment variable.,Estimated Gas Usage: 1839 - 2264,41.221691370010376,2062.863559961319
slither,smartbugs-dataset/other/name_registrar.sol#L23,"NameRegistrar.register(bytes32,address).newRecord",uninitialized-storage,High,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.6364078521728516,2062.863559961319
slither,smartbugs-dataset/other/open_address_lottery.sol#L67-L70,OpenAddressLottery.luckyNumberOfAddress(address),weak-prng,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.7231101989746094,2062.863559961319
slither,smartbugs-dataset/other/open_address_lottery.sol#L91,OpenAddressLottery.forceReseed().s,uninitialized-storage,High,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.7231101989746094,2062.863559961319
slither,smartbugs-dataset/other/open_address_lottery.sol#L46-L65,OpenAddressLottery.participate(),incorrect-equality,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.7231101989746094,2062.863559961319
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 12092 - 67789,2005.7004616260529,2062.863559961319
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 12890 - 68917,2005.7004616260529,2062.863559961319
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 13001 - 69028,2005.7004616260529,2062.863559961319
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 12092 - 67789,2005.7004616260529,2062.863559961319
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,Dependence on predictable environment variable,Low,SWC-ID: https://swcregistry.io/docs/SWC-120,A control flow decision is made based on The block.number environment variable.,Estimated Gas Usage: 11356 - 67053,2005.7004616260529,2062.863559961319
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can underflow.,Estimated Gas Usage: 12890 - 68917,2005.7004616260529,2062.863559961319
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 34795 - 156726,2005.7004616260529,2062.863559961319
mythril,smartbugs-dataset/other/open_address_lottery.sol,OpenAddressLottery,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 34795 - 156726,2005.7004616260529,2062.863559961319
