Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time
slither,smartbugs-dataset/denial_of_service/dos_address.sol,DosGas,DosGas (smartbugs-dataset/denial_of_service/dos_address.sol#9-36) contract sets array length with a user-controlled value:,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#array-length-assignment,1.1278369426727295
slither,smartbugs-dataset/denial_of_service/dos_address.sol,DosGas,Pragma version^0.4.25 (smartbugs-dataset/denial_of_service/dos_address.sol#7) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,1.1278369426727295
slither,smartbugs-dataset/denial_of_service/dos_number.sol,DosNumber,"DosNumber.insertNnumbers(uint256,uint256) (smartbugs-dataset/denial_of_service/dos_number.sol#14-24) has costly operations inside a loop:",High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#costly-operations-inside-a-loop,1.1348910331726074
slither,smartbugs-dataset/denial_of_service/dos_number.sol,DosNumber,Pragma version^0.4.25 (smartbugs-dataset/denial_of_service/dos_number.sol#7) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,1.1348910331726074
mythril,smartbugs-dataset/denial_of_service/send_loop.sol,Refunder,==== Multiple Calls in a Single Transaction ====,Low,SWC-ID: https://swcregistry.io/docs/SWC-113,Multiple calls are executed in the same transaction.,Estimated Gas Usage: 12970 - 83517,11.418079137802124
mythril,smartbugs-dataset/denial_of_service/send_loop.sol,Refunder,==== Transaction Order Dependence ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 12970 - 83517,11.418079137802124
slither,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Government (smartbugs-dataset/denial_of_service/list_dos.sol#10-124) contract sets array length with a user-controlled value:,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#array-length-assignment,1.4285399913787842
slither,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Government.lendGovernmentMoney(address) (smartbugs-dataset/denial_of_service/list_dos.sol#31-86) ignores return value by msg.sender.send(amount) (smartbugs-dataset/denial_of_service/list_dos.sol#37),High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#unchecked-send,1.4285399913787842
slither,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Government.inheritToNextGeneration(address).nextGeneration (smartbugs-dataset/denial_of_service/list_dos.sol#111) lacks a zero-check on :,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#missing-zero-address-validation,1.4285399913787842
slither,smartbugs-dataset/denial_of_service/list_dos.sol,Government,Government.lendGovernmentMoney(address) (smartbugs-dataset/denial_of_service/list_dos.sol#31-86) uses timestamp for comparisons,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,"Developers should write smart contracts with the notion that block values are not precise, and the use of them can lead to unexpected effects. Alterna-tively, they may make use of oracles. refer to https://swcregistry.io/docs/SWC-116/ ",https://github.com/crytic/slither/wiki/Detector-Documentation#block-timestamp,1.4285399913787842
