Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time
slither,smartbugs-dataset/front_running/ERC20.sol,SafeMath,"SafeMath.div(uint256,uint256) (smartbugs-dataset/front_running/ERC20.sol#35-41) is never used and should be removed",High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#dead-code,1.1761698722839355
slither,smartbugs-dataset/front_running/ERC20.sol,SafeMath,Pragma version^0.4.24 (smartbugs-dataset/front_running/ERC20.sol#7) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,1.1761698722839355
slither,smartbugs-dataset/front_running/ERC20.sol,ERC20,ERC20._totalSupply (smartbugs-dataset/front_running/ERC20.sol#84) is never used in ERC20 (smartbugs-dataset/front_running/ERC20.sol#74-130),High,SWC-ID: https://swcregistry.io/docs/SWC-102,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#unused-state-variable,1.1761698722839355
slither,smartbugs-dataset/front_running/ERC20.sol,ERC20,ERC20._totalSupply (smartbugs-dataset/front_running/ERC20.sol#84) should be constant ,High,SWC-ID: https://swcregistry.io/docs/SWC-102,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#state-variables-that-could-be-declared-constant,1.1761698722839355
slither,smartbugs-dataset/front_running/FindThisHash.sol,FindThisHash,FindThisHash.solve(string) (smartbugs-dataset/front_running/FindThisHash.sol#14-19) sends eth to arbitrary user,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#functions-that-send-ether-to-arbitrary-destinations,1.1400740146636963
slither,smartbugs-dataset/front_running/FindThisHash.sol,Deprecated,Deprecated standard detected require(bool)(hash == sha3()(solution)) (smartbugs-dataset/front_running/FindThisHash.sol#17):,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#deprecated-standards,1.1400740146636963
slither,smartbugs-dataset/front_running/FindThisHash.sol,Deprecated,Pragma version^0.4.22 (smartbugs-dataset/front_running/FindThisHash.sol#7) is known to contain severe issues (https://solidity.readthedocs.io/en/latest/bugs.html),High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,1.1400740146636963
slither,smartbugs-dataset/front_running/FindThisHash.sol,solve,solve(string) should be declared external:,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#public-function-that-could-be-declared-external,1.1400740146636963
slither,smartbugs-dataset/front_running/eth_tx_order_dependence_minimal.sol,EthTxOrderDependenceMinimal,EthTxOrderDependenceMinimal.setReward() (smartbugs-dataset/front_running/eth_tx_order_dependence_minimal.sol#18-25) should emit an event for: ,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#missing-events-arithmetic,1.1283988952636719
slither,smartbugs-dataset/front_running/eth_tx_order_dependence_minimal.sol,EthTxOrderDependenceMinimal,Pragma version^0.4.16 (smartbugs-dataset/front_running/eth_tx_order_dependence_minimal.sol#7) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,1.1283988952636719
slither,smartbugs-dataset/front_running/eth_tx_order_dependence_minimal.sol,EthTxOrderDependenceMinimal,Reentrancy in EthTxOrderDependenceMinimal.claimReward(uint256) (smartbugs-dataset/front_running/eth_tx_order_dependence_minimal.sol#27-33):,High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#reentrancy-vulnerabilities-4,1.1283988952636719
