Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time
slither,smartbugs-dataset/reentrancy/reentrancy_bonus.sol, ,Reentrancy_bonus.withdrawReward(address) (smartbugs-dataset/reentrancy/reentrancy_bonus.sol#16-21) sends eth to arbitrary user,High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#functions-that-send-ether-to-arbitrary-destinations,4.133493900299072
slither,smartbugs-dataset/reentrancy/reentrancy_bonus.sol, ,Reentrancy in Reentrancy_bonus.getFirstWithdrawalBonus(address) (smartbugs-dataset/reentrancy/reentrancy_bonus.sol#23-30):,High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#reentrancy-vulnerabilities,4.133493900299072
slither,smartbugs-dataset/reentrancy/reentrancy_bonus.sol, ,Reentrancy_bonus.withdrawReward(address).recipient (smartbugs-dataset/reentrancy/reentrancy_bonus.sol#16) lacks a zero-check on :,High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#missing-zero-address-validation,4.133493900299072
slither,smartbugs-dataset/reentrancy/reentrancy_bonus.sol, ,Pragma version^0.4.0 (smartbugs-dataset/reentrancy/reentrancy_bonus.sol#7) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,4.133493900299072
slither,smartbugs-dataset/reentrancy/reentrancy_bonus.sol, ,Low level call in Reentrancy_bonus.withdrawReward(address) (smartbugs-dataset/reentrancy/reentrancy_bonus.sol#16-21):,High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#low-level-calls,4.133493900299072
slither,smartbugs-dataset/reentrancy/reentrancy_bonus.sol, ,Contract Reentrancy_bonus (smartbugs-dataset/reentrancy/reentrancy_bonus.sol#9-31) is not in CapWords,High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#conformance-to-solidity-naming-conventions,4.133493900299072
slither,smartbugs-dataset/reentrancy/reentrancy_bonus.sol, ,Reentrancy_bonus.userBalances (smartbugs-dataset/reentrancy/reentrancy_bonus.sol#12) is never used in Reentrancy_bonus (smartbugs-dataset/reentrancy/reentrancy_bonus.sol#9-31),High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#unused-state-variable,4.133493900299072
mythril,smartbugs-dataset/reentrancy/reentrancy_bonus.sol,Reentrancy_bonus,==== External Call To User-Supplied Address ====,Low,SWC-ID: https://swcregistry.io/docs/SWC-107,A call to a user-supplied address is executed.,Estimated Gas Usage: 7032 - 61693,33.331193923950195
mythril,smartbugs-dataset/reentrancy/reentrancy_bonus.sol,Reentrancy_bonus,==== Transaction Order Dependence ====,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 7032 - 61693,33.331193923950195
slither,smartbugs-dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,Log,Log (smartbugs-dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol#50-75) contract sets array length with a user-controlled value:,High,SWC-ID: https://swcregistry.io/docs/SWC- ,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#array-length-assignment,0.8764281272888184
slither,smartbugs-dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,Log,Reentrancy in PrivateBank.CashOut(uint256) (smartbugs-dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol#33-44):,High,SWC-ID: https://swcregistry.io/docs/SWC-107,"To avoid re-entrancy, you can use the Checks-Effects-Interactions pattern as outlined in https://docs.soliditylang.org/en/v0.4.21/security-considerations.html#re-entrancy",https://github.com/crytic/slither/wiki/Detector-Documentation#reentrancy-vulnerabilities,0.8764281272888184
slither,smartbugs-dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,Log,Pragma version^0.4.19 (smartbugs-dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol#7) allows old versions,Medium,SWC-ID: https://swcregistry.io/docs/SWC-102,It is recommended to use a recent version of the Solidity compiler. Using an outdated compiler version can be problematic especially if there are publicly disclosed bugs and issues that affect the current compiler version. refer to https://swcregistry.io/docs/SWC-102/#version_0_4_13sol ,https://github.com/crytic/slither/wiki/Detector-Documentation#incorrect-versions-of-solidity,0.8764281272888184
slither,smartbugs-dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,Low,Low level call in PrivateBank.CashOut(uint256) (smartbugs-dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol#33-44):,Low,SWC-ID: https://swcregistry.io/docs/SWC-102,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#low-level-calls,0.8764281272888184
slither,smartbugs-dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,Function,Function PrivateBank.Deposit() (smartbugs-dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol#22-31) is not in mixedCase,High,SWC-ID: https://swcregistry.io/docs/SWC-102,See description,https://github.com/crytic/slither/wiki/Detector-Documentation#conformance-to-solidity-naming-conventions,0.8764281272888184
