Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time,Total Time
slither,smartbugs-dataset/time_manipulation/roulette.sol#L15-L24,Roulette.fallback(),arbitrary-send-eth,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.658564567565918,888.7582638263702
slither,smartbugs-dataset/time_manipulation/roulette.sol#L15-L24,Roulette.fallback(),weak-prng,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.658564567565918,888.7582638263702
slither,smartbugs-dataset/time_manipulation/roulette.sol#L15-L24,Roulette.fallback(),incorrect-equality,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.658564567565918,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/roulette.sol,Roulette,Dependence on predictable environment variable,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,A control flow decision is made based on The block.timestamp environment variable.,Estimated Gas Usage: 888 - 983,612.5398290157318,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/roulette.sol,Roulette,Dependence on predictable environment variable,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,A control flow decision is made based on The block.timestamp environment variable.,Estimated Gas Usage: 5957 - 26052,612.5398290157318,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/roulette.sol,Roulette,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 7524 - 61805,612.5398290157318,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/roulette.sol,Roulette,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 7524 - 61805,612.5398290157318,888.7582638263702
slither,smartbugs-dataset/time_manipulation/governmental_survey.sol#L30-L40,Governmental.resetInvestment(),arbitrary-send-eth,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.655665397644043,888.7582638263702
slither,smartbugs-dataset/time_manipulation/governmental_survey.sol#L45-L52,"Attacker.attack(address,uint256)",tautology,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.655665397644043,888.7582638263702
slither,smartbugs-dataset/time_manipulation/governmental_survey.sol#L30-L40,Governmental.resetInvestment(),unchecked-send,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.655665397644043,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/governmental_survey.sol,Attacker,requirement violation,Medium,SWC-ID: https://swcregistry.io/docs/SWC-123,A requirement was violated in a nested call and the call was reverted as a result.,Estimated Gas Usage: 1900 - 36466,245.38642597198486,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/governmental_survey.sol,Attacker,requirement violation,Medium,SWC-ID: https://swcregistry.io/docs/SWC-123,A requirement was violated in a nested call and the call was reverted as a result.,Estimated Gas Usage: 1084 - 1460,245.38642597198486,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/governmental_survey.sol,Attacker,External Call To User-Supplied Address,Low,SWC-ID: https://swcregistry.io/docs/SWC-107,A call to a user-supplied address is executed.,Estimated Gas Usage: 1828 - 36204,245.38642597198486,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/governmental_survey.sol,Attacker,requirement violation,Medium,SWC-ID: https://swcregistry.io/docs/SWC-123,A requirement was violated in a nested call and the call was reverted as a result.,Estimated Gas Usage: 1821 - 36197,245.38642597198486,888.7582638263702
slither,smartbugs-dataset/time_manipulation/ether_lotto.sol#L33-L57,EtherLotto.play(),arbitrary-send-eth,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6492705345153809,888.7582638263702
slither,smartbugs-dataset/time_manipulation/ether_lotto.sol#L33-L57,EtherLotto.play(),weak-prng,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6492705345153809,888.7582638263702
slither,smartbugs-dataset/time_manipulation/ether_lotto.sol#L33-L57,EtherLotto.play(),incorrect-equality,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,High,,0.6492705345153809,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/ether_lotto.sol,EtherLotto,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 153 - 248,18.556523084640503,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/ether_lotto.sol,EtherLotto,Dependence on predictable environment variable,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,A control flow decision is made based on The block.timestamp environment variable.,Estimated Gas Usage: 6138 - 26514,18.556523084640503,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/ether_lotto.sol,EtherLotto,Multiple Calls in a Single Transaction,Low,SWC-ID: https://swcregistry.io/docs/SWC-113,Multiple calls are executed in the same transaction.,Estimated Gas Usage: 14414 - 123492,18.556523084640503,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/ether_lotto.sol,EtherLotto,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 14414 - 123492,18.556523084640503,888.7582638263702
slither,smartbugs-dataset/time_manipulation/lottopollo.sol#L11-L24,lottopollo.payOut(uint256),arbitrary-send-eth,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6369278430938721,888.7582638263702
slither,smartbugs-dataset/time_manipulation/lottopollo.sol#L11-L24,lottopollo.payOut(uint256),unchecked-send,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.6369278430938721,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/lottopollo.sol,lottopollo,Dependence on predictable environment variable,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,A control flow decision is made based on The block.timestamp environment variable.,Estimated Gas Usage: 261 - 356,5.533205986022949,888.7582638263702
mythril,smartbugs-dataset/time_manipulation/lottopollo.sol,lottopollo,Dependence on predictable environment variable,Low,SWC-ID: https://swcregistry.io/docs/SWC-116,A control flow decision is made based on The block.timestamp environment variable.,Estimated Gas Usage: 278 - 373,5.533205986022949,888.7582638263702
