filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails,source_file,subfolder
FibonacciBalance.sol,FibonacciBalance.sol,confuzzius,solidity,12/31/22,20241211_2232,1733974303,1067.010553,139,{},{},{},{DOCKER_SEGV},results_access-control.csv,access_control
arbitrary_location_write_simple.sol,arbitrary_location_write_simple.sol,confuzzius,solidity,12/31/22,20241211_2232,1733972245,1998.77803,0,{Arbitrary_Memory_Access},{},{},{},results_access-control.csv,access_control
incorrect_constructor_name1.sol,incorrect_constructor_name1.sol,confuzzius,solidity,12/31/22,20241211_2232,1733963415,2001.714615,0,"{Leaking_Ether,Transaction_Order_Dependency}",{},{},{},results_access-control.csv,access_control
incorrect_constructor_name2.sol,incorrect_constructor_name2.sol,confuzzius,solidity,12/31/22,20241211_2232,1733975496,2012.170709,NA,"{Leaking_Ether,Transaction_Order_Dependency}",{},{},{DOCKER_TIMEOUT},results_access-control.csv,access_control
incorrect_constructor_name3.sol,incorrect_constructor_name3.sol,confuzzius,solidity,12/31/22,20241211_2232,1733969914,2010.655203,0,"{Leaking_Ether,Transaction_Order_Dependency}",{},{},{},results_access-control.csv,access_control
mapping_write.sol,mapping_write.sol,confuzzius,solidity,12/31/22,20241211_2232,1733958906,2046.295525,NA,{},{},{},{DOCKER_TIMEOUT},results_access-control.csv,access_control
multiowned_vulnerable.sol,multiowned_vulnerable.sol,confuzzius,solidity,12/31/22,20241211_2232,1733967927,1996.365377,0,"{Leaking_Ether,Transaction_Order_Dependency}",{},{},{},results_access-control.csv,access_control
mycontract.sol,mycontract.sol,confuzzius,solidity,12/31/22,20241211_2232,1733961019,2011.233063,0,{},{},{},{},results_access-control.csv,access_control
parity_wallet_bug_1.sol,parity_wallet_bug_1.sol,confuzzius,solidity,12/31/22,20241211_2232,1733967842,9.148682356,255,{},{},"{EXIT_CODE_255,No compiler output for: /sb/parity_wallet_bug_1.sol}",{},results_access-control.csv,access_control
parity_wallet_bug_2.sol,parity_wallet_bug_2.sol,confuzzius,solidity,12/31/22,20241211_2232,1733967522,2025.572548,0,"{Assertion_Failure,Block_Dependency,Integer_Overflow,Reentrancy,Transaction_Order_Dependency,Unprotected_Selfdestruct}",{},{},{},results_access-control.csv,access_control
phishable.sol,phishable.sol,confuzzius,solidity,12/31/22,20241211_2232,1733967345,2044.827302,NA,{},{},{},{DOCKER_TIMEOUT},results_access-control.csv,access_control
proxy.sol,proxy.sol,confuzzius,solidity,12/31/22,20241211_2232,1733956381,2064.320476,NA,{Unsafe_Delegatecall},{},{},{DOCKER_TIMEOUT},results_access-control.csv,access_control
rubixi.sol,rubixi.sol,confuzzius,solidity,12/31/22,20241211_2232,1733973706,2001.118836,0,"{Assertion_Failure,Integer_Overflow}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{},results_access-control.csv,access_control
simple_suicide.sol,simple_suicide.sol,confuzzius,solidity,12/31/22,20241211_2232,1733964164,2171.845485,NA,{Unprotected_Selfdestruct},{},{},{DOCKER_TIMEOUT},results_access-control.csv,access_control
unprotected0.sol,unprotected0.sol,confuzzius,solidity,12/31/22,20241211_2232,1733971068,2001.423303,0,{},{},{},{},results_access-control.csv,access_control
wallet_02_refund_nosub.sol,wallet_02_refund_nosub.sol,confuzzius,solidity,12/31/22,20241211_2232,1733960812,2017.312493,NA,"{Assertion_Failure,Transaction_Order_Dependency}",{},{},{DOCKER_TIMEOUT},results_access-control.csv,access_control
wallet_03_wrong_constructor.sol,wallet_03_wrong_constructor.sol,confuzzius,solidity,12/31/22,20241211_2232,1733976142,2000.090824,0,"{Assertion_Failure,Leaking_Ether,Transaction_Order_Dependency}",{},{},{},results_access-control.csv,access_control
wallet_04_confused_sign.sol,wallet_04_confused_sign.sol,confuzzius,solidity,12/31/22,20241211_2232,1733982264,2016.10359,NA,"{Assertion_Failure,Integer_Overflow,Leaking_Ether,Transaction_Order_Dependency}",{},{},{DOCKER_TIMEOUT},results_access-control.csv,access_control
FibonacciBalance.sol,FibonacciBalance.sol,conkas,solidity,11/11/22,20241211_2232,1733961466,35.51140285,0,"{Integer_Overflow,Integer_Underflow,Reentrancy,Transaction_Ordering_Dependence}",{},{},{},results_access-control.csv,access_control
arbitrary_location_write_simple.sol,arbitrary_location_write_simple.sol,conkas,solidity,11/11/22,20241211_2232,1733969447,53.36941934,0,{Integer_Overflow},{},{},{},results_access-control.csv,access_control
incorrect_constructor_name1.sol,incorrect_constructor_name1.sol,conkas,solidity,11/11/22,20241211_2232,1733956478,46.12084532,0,{Reentrancy},{},{},{},results_access-control.csv,access_control
incorrect_constructor_name2.sol,incorrect_constructor_name2.sol,conkas,solidity,11/11/22,20241211_2232,1733961432,11.40775037,0,{Reentrancy},{},{},{},results_access-control.csv,access_control
incorrect_constructor_name3.sol,incorrect_constructor_name3.sol,conkas,solidity,11/11/22,20241211_2232,1733958347,18.75520754,0,{Reentrancy},{},{},{},results_access-control.csv,access_control
mapping_write.sol,mapping_write.sol,conkas,solidity,11/11/22,20241211_2232,1733963134,14.06482315,0,"{Integer_Overflow,Reentrancy}",{},{},{},results_access-control.csv,access_control
multiowned_vulnerable.sol,multiowned_vulnerable.sol,conkas,solidity,11/11/22,20241211_2232,1733961401,15.83444071,0,{Reentrancy},{},{},{},results_access-control.csv,access_control
mycontract.sol,mycontract.sol,conkas,solidity,11/11/22,20241211_2232,1733963056,6.839860678,0,{Reentrancy},{},{},{},results_access-control.csv,access_control
parity_wallet_bug_1.sol,parity_wallet_bug_1.sol,conkas,solidity,11/11/22,20241211_2232,1733962856,8.347267628,1,{},{},"{EXIT_CODE_1,solcx.exceptions.SolcError: An error occurred during execution}",{exception (solcx.exceptions.SolcError: An error occurred during execution)},results_access-control.csv,access_control
parity_wallet_bug_2.sol,parity_wallet_bug_2.sol,conkas,solidity,11/11/22,20241211_2232,1733959739,24.77586794,0,{},{},{},{exception (RecursionError: maximum recursion depth exceeded)},results_access-control.csv,access_control
phishable.sol,phishable.sol,conkas,solidity,11/11/22,20241211_2232,1733960052,64.18455195,0,{Reentrancy},{},{},{},results_access-control.csv,access_control
proxy.sol,proxy.sol,conkas,solidity,11/11/22,20241211_2232,1733958142,19.54410434,0,{Integer_Overflow},{},{},{},results_access-control.csv,access_control
rubixi.sol,rubixi.sol,conkas,solidity,11/11/22,20241211_2232,1733975877,870.8247254,0,"{Integer_Overflow,Integer_Underflow,Reentrancy,Transaction_Ordering_Dependence,Unchecked_Low_Level_Call}",{},{},{},results_access-control.csv,access_control
simple_suicide.sol,simple_suicide.sol,conkas,solidity,11/11/22,20241211_2232,1733978669,10.75866699,0,{},{},{},{},results_access-control.csv,access_control
unprotected0.sol,unprotected0.sol,conkas,solidity,11/11/22,20241211_2232,1733960709,10.53428078,0,{},{},{},{},results_access-control.csv,access_control
wallet_02_refund_nosub.sol,wallet_02_refund_nosub.sol,conkas,solidity,11/11/22,20241211_2232,1733958053,88.93860579,0,"{Reentrancy,Transaction_Ordering_Dependence}",{},{},{},results_access-control.csv,access_control
wallet_03_wrong_constructor.sol,wallet_03_wrong_constructor.sol,conkas,solidity,11/11/22,20241211_2232,1733969924,15.80081201,0,"{Integer_Overflow,Reentrancy}",{},{},{},results_access-control.csv,access_control
wallet_04_confused_sign.sol,wallet_04_confused_sign.sol,conkas,solidity,11/11/22,20241211_2232,1733971524,8.429861546,0,"{Integer_Overflow,Integer_Underflow,Reentrancy}",{},{},{},results_access-control.csv,access_control
FibonacciBalance.sol,FibonacciBalance.sol,honeybadger,solidity,2/27/23,20241211_2232,1733965079,19.59777141,0,{},{},{},{},results_access-control.csv,access_control
arbitrary_location_write_simple.sol,arbitrary_location_write_simple.sol,honeybadger,solidity,2/27/23,20241211_2232,1733956714,66.74755788,0,{Money_flow},{},{},{},results_access-control.csv,access_control
