filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
smartbugs-dataset/front_running/ERC20.sol,ERC20.sol,confuzzius,solidity,2022/12/31,20241215_0106,1734228354.7657087,1004.1596689224243,0,{},{},{},{}
smartbugs-dataset/front_running/FindThisHash.sol,FindThisHash.sol,confuzzius,solidity,2022/12/31,20241215_0106,1734224807.944933,2025.826860666275,,{},{},{},{DOCKER_TIMEOUT}
smartbugs-dataset/front_running/eth_tx_order_dependence_minimal.sol,eth_tx_order_dependence_minimal.sol,confuzzius,solidity,2022/12/31,20241215_0106,1734227273.445121,1999.383691072464,0,"{Leaking_Ether,Transaction_Order_Dependency}",{},{},{}
smartbugs-dataset/front_running/odds_and_evens.sol,odds_and_evens.sol,confuzzius,solidity,2022/12/31,20241215_0106,1734226886.8729906,2013.0912766456604,,"{Assertion_Failure,Transaction_Order_Dependency,Unhandled_Exception}",{},{},{DOCKER_TIMEOUT}
smartbugs-dataset/front_running/ERC20.sol,ERC20.sol,conkas,solidity,2022/11/11,20241215_0106,1734229369.1468658,9.005727529525757,0,{},{},{},{}
smartbugs-dataset/front_running/FindThisHash.sol,FindThisHash.sol,conkas,solidity,2022/11/11,20241215_0106,1734229401.3422348,16.391682386398315,0,"{Integer_Overflow,Reentrancy}",{},{},{}
smartbugs-dataset/front_running/eth_tx_order_dependence_minimal.sol,eth_tx_order_dependence_minimal.sol,conkas,solidity,2022/11/11,20241215_0106,1734229387.1020887,12.322595357894897,0,"{Reentrancy,Transaction_Ordering_Dependence}",{},{},{}
smartbugs-dataset/front_running/odds_and_evens.sol,odds_and_evens.sol,conkas,solidity,2022/11/11,20241215_0106,1734228336.8255966,17.938928604125977,0,"{Reentrancy,Unchecked_Low_Level_Call}",{},{},{}
smartbugs-dataset/front_running/ERC20.sol,ERC20.sol,honeybadger,solidity,2023/02/27,20241215_0106,1734225166.8506358,19.926392078399658,0,{},{},{},{}
smartbugs-dataset/front_running/FindThisHash.sol,FindThisHash.sol,honeybadger,solidity,2023/02/27,20241215_0106,1734228200.5231934,42.116461753845215,0,{},{},{},{}
smartbugs-dataset/front_running/eth_tx_order_dependence_minimal.sol,eth_tx_order_dependence_minimal.sol,honeybadger,solidity,2023/02/27,20241215_0106,1734224966.8779588,42.443400382995605,0,{Money_flow},{},{},{}
smartbugs-dataset/front_running/odds_and_evens.sol,odds_and_evens.sol,honeybadger,solidity,2023/02/27,20241215_0106,1734225735.0573242,33.233500242233276,0,"{Money_flow,Uninitialised_struct}",{},{},{}
smartbugs-dataset/front_running/ERC20.sol,ERC20.sol,maian,solidity,2022/11/11,20241215_0106,1734225276.5560634,432.176641702652,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
