Folder,Filename,Vulnerability,Line Number,Source Code
bad_randomness,random_number_generator.sol,BAD_RANDOMNESS,11,// <yes> <report> BAD_RANDOMNESS
bad_randomness,random_number_generator.sol,BAD_RANDOMNESS,17,// <yes> <report> BAD_RANDOMNESS
bad_randomness,random_number_generator.sol,BAD_RANDOMNESS,19,// <yes> <report> BAD_RANDOMNESS
bad_randomness,random_number_generator.sol,BAD_RANDOMNESS,21,// <yes> <report> BAD_RANDOMNESS
bad_randomness,lottery.sol,BAD_RANDOMNESS,37,// <yes> <report> BAD_RANDOMNESS
bad_randomness,lottery.sol,BAD_RANDOMNESS,41,// <yes> <report> BAD_RANDOMNESS
bad_randomness,old_blockhash.sol,BAD_RANDOMNESS,34,// <yes> <report> BAD_RANDOMNESS
bad_randomness,etheraffle.sol,BAD_RANDOMNESS,48,// <yes> <report> BAD_RANDOMNESS
bad_randomness,etheraffle.sol,BAD_RANDOMNESS,98,// <yes> <report> BAD_RANDOMNESS
bad_randomness,etheraffle.sol,BAD_RANDOMNESS,100,// <yes> <report> BAD_RANDOMNESS
bad_randomness,etheraffle.sol,BAD_RANDOMNESS,102,// <yes> <report> BAD_RANDOMNESS
bad_randomness,etheraffle.sol,BAD_RANDOMNESS,113,// <yes> <report> BAD_RANDOMNESS
bad_randomness,etheraffle.sol,BAD_RANDOMNESS,157,// <yes> <report> BAD_RANDOMNESS
bad_randomness,blackjack.sol,BAD_RANDOMNESS,16,// <yes> <report> BAD_RANDOMNESS
bad_randomness,blackjack.sol,BAD_RANDOMNESS,18,// <yes> <report> BAD_RANDOMNESS
bad_randomness,blackjack.sol,BAD_RANDOMNESS,20,// <yes> <report> BAD_RANDOMNESS
bad_randomness,lucky_doubler.sol,BAD_RANDOMNESS,126,// <yes> <report> BAD_RANDOMNESS
bad_randomness,smart_billions.sol,BAD_RANDOMNESS,522,// <yes> <report> BAD_RANDOMNESS
bad_randomness,smart_billions.sol,BAD_RANDOMNESS,559,// <yes> <report> BAD_RANDOMNESS
