Tool,File,Contract,Vulnerability,Severity,SWC.ID,Remediation,Description.More.Info,Execution.time,Total.Time,source_file,subfolder,filename
mythril,smartbugs-dataset/access_control/wallet_04_confused_sign.sol,Wallet,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 7840 - 62501,71.41015553,675.9885309,output_access_control.csv,accesscontrol,wallet_04_confused_sign.sol
mythril,smartbugs-dataset/access_control/wallet_04_confused_sign.sol,Wallet,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can underflow.,Estimated Gas Usage: 7840 - 62501,71.41015553,675.9885309,output_access_control.csv,accesscontrol,wallet_04_confused_sign.sol
mythril,smartbugs-dataset/access_control/wallet_04_confused_sign.sol,Wallet,Exception State,Medium,SWC-ID: https://swcregistry.io/docs/SWC-110,An assertion violation was triggered.,Estimated Gas Usage: 1955 - 2430,71.41015553,675.9885309,output_access_control.csv,accesscontrol,wallet_04_confused_sign.sol
slither,smartbugs-dataset/access_control/mycontract.sol#L18-L22,"MyContract.sendTo(address,uint256)",arbitrary-send-eth,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.635950565,675.9885309,output_access_control.csv,accesscontrol,mycontract.sol#L18-L22
slither,smartbugs-dataset/access_control/mycontract.sol#L18-L22,"MyContract.sendTo(address,uint256)",tx-origin,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.635950565,675.9885309,output_access_control.csv,accesscontrol,mycontract.sol#L18-L22
mythril,smartbugs-dataset/access_control/mycontract.sol,MyContract,Dependence on tx.origin,Low,SWC-ID: https://swcregistry.io/docs/SWC-115,Use of tx.origin as a part of authorization control.,Estimated Gas Usage: 1078 - 1503,11.42876911,675.9885309,output_access_control.csv,accesscontrol,mycontract.sol
mythril,smartbugs-dataset/access_control/incorrect_constructor_name1.sol,Missing,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 3379 - 38320,11.08360052,675.9885309,output_access_control.csv,accesscontrol,incorrect_constructor_name1.sol
mythril,smartbugs-dataset/access_control/incorrect_constructor_name1.sol,Missing,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 3379 - 38320,11.08360052,675.9885309,output_access_control.csv,accesscontrol,incorrect_constructor_name1.sol
slither,smartbugs-dataset/access_control/phishable.sol#L18-L22,Phishable.withdrawAll(address),arbitrary-send-eth,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.641084671,675.9885309,output_access_control.csv,accesscontrol,phishable.sol#L18-L22
slither,smartbugs-dataset/access_control/phishable.sol#L18-L22,Phishable.withdrawAll(address),tx-origin,Medium,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.641084671,675.9885309,output_access_control.csv,accesscontrol,phishable.sol#L18-L22
mythril,smartbugs-dataset/access_control/phishable.sol,Phishable,Dependence on tx.origin,Low,SWC-ID: https://swcregistry.io/docs/SWC-115,Use of tx.origin as a part of authorization control.,Estimated Gas Usage: 1073 - 1498,34.18384814,675.9885309,output_access_control.csv,accesscontrol,phishable.sol
mythril,smartbugs-dataset/access_control/phishable.sol,Phishable,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 2607 - 37218,34.18384814,675.9885309,output_access_control.csv,accesscontrol,phishable.sol
