Index ,N1,N2,N3,Desc,SWC,DASP,Rameder,CWE,SCD,Synonyms,DefectType,Qualifier
1 Unsafe External Calls,1,0,0,This category represents a set of vulnerabilities in which there is an interaction between at least two contracts,,,,,,,,
1.1 Reentrancy,1,1,0,"The first subcategory is reentrancy, in which two contracts are involved: the vulnerable contract and the malicious contract. Overall, this type of vulnerability occurs when the malicious contract, after initiating a call, is allowed to make new calls to the vulnerable contract before the initial call has been completed. Thus, unexpected state changes may occur, such as depletion of credit. We identified two main types of reentrancy vulnerabilities: one type associated with loss of credit and the other one associated with unexpected state change",,,,,,,,
1.1.1 Unsafe Credit Transfer,1,1,1,"Known due to the DAO attack event, this vulnerability allows attackers to maliciously change balance via credit transfer calls that are allowed to take place before a previous call has been completed. Let us consider the case where a smart contract maintains the balance of several addresses, allowing the retrieval of funds. A malicious contract may initiate a withdrawal operation which would lead the vulnerable contract to send funds to the malicious one before updating the balance of the malicious contract. On the malicious contract side, funds would be accepted, and a new withdrawal could be initiated (before the balance had been updated on the vulnerable contract side). As a consequence, the malicious contract could withdraw funds multiple times, with the total sum exceeding its own funds",SWC-107,DASP-1,1A,CWE-841,SCD-01,"buggy-locked reentrancy, cross-function re-entrancy, dao, modified reentrancy, re-entrancy, reentrancy, reentrancy vulnerabilities, reentrancy-eth, repetitive call, simple reentrancy",Algorithm/Method,Wrong
1.1.2 Unsafe System State Changes,1,1,2,"This vulnerability is similar in nature to v1.1.1, with the main difference being the fact that there is no credit involved and, thus, no impact on users' funds. Due to the way the contract is coded, a call that reaches the vulnerable contract before a previous one has ended may allow an attacker to place the program in an unexpected state, leading to various effects, depending on the type of contract involved, including performance or availability issues",SWC-107,DASP-1,,CWE-841,SCD-27,"reentrancy, reentrancybenign, reentrancynoeth",Algorithm/Method,Wrong
1.2 Malicious Fallback Function,1,2,0,"Fallback functions are functions that are executed when a program receives a call to a function whose signature does not exist, i.e., either the name does not exist or the parameters do not match the parameters of any of the existing functions. For instance, an attacker could deploy a smart contract with a malicious fallback function, which could be used to drain funds or alter the system's state",-,-,1B,CWE-685,SCD-10,"call to the unknown, unexpected function invocation",Interface/O-O Messages,Wrong
1.3 Improper Check of External Call Result,1,3,0,"This category groups vulnerabilities that verify the execution of external contracts in an improper manner (i.e., verification is wrong or even missing), which affects the subsequent logic of the calling contract. The result of invoking a certain external operation should be verified, first of all, because it may simply fail, but especially because the called operation may be malicious (or may just have been poorly coded, resulting in an unexpected result); thus, the direct use of the result may lead to unexpected behavior",,,,,,,,
1.3.1 Improper Check of External Call Return Value,1,3,1,"This defect consists of an incorrect (or missing) verification of the returned value from the external execution of a contract. When a smart contract invokes another one, the returned value should be verified because the called operation may return an unexpected value (i.e., either because the callee is malicious or may just have been poorly coded, resulting in an unexpected result)",SWC-104,DASP-4,10A,CWE-252,SCD-11,"call-stack depth attack, calldepth, callstack depth attack, no check after contract invocation, unchecked call return value, unchecked external call, unchecked return values, unusedreturn",Checking,"Missing, Wrong"
1.3.2 Improper Exception Handling of External Calls,1,3,2,"In the case of this defect, the problem resides in the incorrect (or missing) handling of exceptional behavior thrown by a call (i.e., instead of residing in the handling of values, as in the case of vulnerability v1.3.1 ). The improper verification of exceptions thrown by the callee may lead to unexpected behavior in the caller contract. There are various reasons why the callee may exhibit exceptional behavior. For instance, the callee could be under malicious control, the execution of the transaction could activate a fault in the callee contract, the transaction could be terminated due to reaching the gas limit, or the callee contract may have been terminated (e.g., after a software fault has been detected in the contract)",SWC-113,DASP-5,,CWE-703,SCD-58,"denial of service, dos attack, dos by external contract, dos with failed call, external contract referencing",Checking,"Missing, Wrong"
1.3.3 Improper Check of Low-Level Call Return Value,1,3,3,"Languages like Solidity offer the possibility of using low-level calls that operate over raw addresses. Such calls do not verify that the code exists or the success of the calls. Thus, its use may lead to unexpected behavior. As a result, using such calls can be risky and should be avoided in most cases.",-,-,3A,CWE-372,SCD-37,"checkeffects, inlineassembly, low-level-calls, lowlevelcalls, unchecked call, unchecked low level calls",Interface/O-O Messages,"Missing, Wrong"
1.4 Improper locking during external calls,1,4,0,"A vulnerable contract uses a lock mechanism in an erroneous manner, which may cause deadlocks. This may result, for instance, in the impossibility of executing transfers and eventually in Denial of Service",SWC-132,DASP-1,,CWE-667,SCD-15,unexpected ether balance,Timing/Serialization,"Missing, Wrong"
