name,path,source,category,vulnerable_lines
"arbitrary_location_write_simple.sol","dataset/access_control/arbitrary_location_write_simple.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-124#arbitrary-location-write-simplesol","access_control","27"
"incorrect_constructor_name1.sol","dataset/access_control/incorrect_constructor_name1.sol","https://github.com/trailofbits/not-so-smart-contracts/blob/master/wrong_constructor_name/incorrect_constructor.sol","access_control","20"
"incorrect_constructor_name2.sol","dataset/access_control/incorrect_constructor_name2.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-118#incorrect-constructor-name1sol","access_control","18"
"incorrect_constructor_name3.sol","dataset/access_control/incorrect_constructor_name3.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-118#incorrect-constructor-name2sol","access_control","17"
"mapping_write.sol","dataset/access_control/mapping_write.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-124#mapping-writesol","access_control","20"
"multiowned_vulnerable.sol","dataset/access_control/multiowned_vulnerable.sol","https://github.com/SmartContractSecurity/SWC-registry/blob/master/test_cases/solidity/unprotected_critical_functions/multiowned_vulnerable/multiowned_vulnerable.sol","access_control","38"
"mycontract.sol","dataset/access_control/mycontract.sol","https://consensys.github.io/smart-contract-best-practices/recommendations/#avoid-using-txorigin","access_control","20"
"parity_wallet_bug_1.sol","dataset/access_control/parity_wallet_bug_1.sol","https://github.com/paritytech/parity-ethereum/blob/4d08e7b0aec46443bf26547b17d10cb302672835/js/src/contracts/snippets/enhanced-wallet.sol#L216","access_control","223"
"parity_wallet_bug_1.sol","dataset/access_control/parity_wallet_bug_1.sol","https://github.com/paritytech/parity-ethereum/blob/4d08e7b0aec46443bf26547b17d10cb302672835/js/src/contracts/snippets/enhanced-wallet.sol#L216","access_control","437"
"parity_wallet_bug_2.sol","dataset/access_control/parity_wallet_bug_2.sol","https://smartcontractsecurity.github.io/SWC-registry/docs/SWC-106#walletlibrarysol","access_control","226"
